Training with hyperparameters: alpha=0.0001, lambda=0
Training data: ./Syn_8_8_8_2_10000/syn_conty/rp25.train.npz
Test data:     ./Syn_8_8_8_2_10000/syn_conty/rn30.test.npz
Loaded data with shape [9000,26]
Defining graph...

Training on experiment 1/10...
0	Obj: 0.5140,	F: 0.7160,	Cf: 0.619,	Imb: 1.9e-08,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.0082,	pehe_train: 0.0107	ate_ood: 0.0082,	pehe_ood: 0.0108
100	Obj: 0.0828,	F: 0.2893,	Cf: 0.315,	Imb: 4.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9132,	pehe_train: 1.1951	ate_ood: 0.9132,	pehe_ood: 1.2047
200	Obj: 0.0813,	F: 0.2892,	Cf: 0.306,	Imb: 4.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8820,	pehe_train: 1.1542	ate_ood: 0.8820,	pehe_ood: 1.1634
300	Obj: 0.0800,	F: 0.2889,	Cf: 0.309,	Imb: 4.5e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8899,	pehe_train: 1.1645	ate_ood: 0.8899,	pehe_ood: 1.1738
400	Obj: 0.0789,	F: 0.2891,	Cf: 0.305,	Imb: 4.5e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8432,	pehe_train: 1.1034	ate_ood: 0.8432,	pehe_ood: 1.1122
500	Obj: 0.0787,	F: 0.2906,	Cf: 0.315,	Imb: 4.4e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9270,	pehe_train: 1.2131	ate_ood: 0.9270,	pehe_ood: 1.2228
600	Obj: 0.0784,	F: 0.2920,	Cf: 0.316,	Imb: 4.3e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9379,	pehe_train: 1.2273	ate_ood: 0.9379,	pehe_ood: 1.2372
700	Obj: 0.0782,	F: 0.2934,	Cf: 0.316,	Imb: 4.3e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9450,	pehe_train: 1.2366	ate_ood: 0.9450,	pehe_ood: 1.2465
800	Obj: 0.0788,	F: 0.2964,	Cf: 0.323,	Imb: 4.3e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9734,	pehe_train: 1.2737	ate_ood: 0.9734,	pehe_ood: 1.2839
900	Obj: 0.0739,	F: 0.2887,	Cf: 0.306,	Imb: 4.2e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8712,	pehe_train: 1.1401	ate_ood: 0.8712,	pehe_ood: 1.1493
1000	Obj: 0.0747,	F: 0.2919,	Cf: 0.309,	Imb: 4.2e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8209,	pehe_train: 1.0742	ate_ood: 0.8209,	pehe_ood: 1.0828
1100	Obj: 0.0727,	F: 0.2895,	Cf: 0.307,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8429,	pehe_train: 1.1030	ate_ood: 0.8429,	pehe_ood: 1.1119
1200	Obj: 0.0718,	F: 0.2891,	Cf: 0.305,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8442,	pehe_train: 1.1047	ate_ood: 0.8442,	pehe_ood: 1.1136
1300	Obj: 0.0709,	F: 0.2887,	Cf: 0.309,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8630,	pehe_train: 1.1293	ate_ood: 0.8630,	pehe_ood: 1.1384
1400	Obj: 0.0701,	F: 0.2886,	Cf: 0.307,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8688,	pehe_train: 1.1369	ate_ood: 0.8688,	pehe_ood: 1.1460
1500	Obj: 0.0695,	F: 0.2886,	Cf: 0.311,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8764,	pehe_train: 1.1468	ate_ood: 0.8764,	pehe_ood: 1.1560
1600	Obj: 0.0696,	F: 0.2901,	Cf: 0.312,	Imb: 4.1e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8495,	pehe_train: 1.1117	ate_ood: 0.8495,	pehe_ood: 1.1206
1700	Obj: 0.0684,	F: 0.2887,	Cf: 0.312,	Imb: 4e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8939,	pehe_train: 1.1698	ate_ood: 0.8939,	pehe_ood: 1.1792
1800	Obj: 0.0685,	F: 0.2900,	Cf: 0.306,	Imb: 4e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8326,	pehe_train: 1.0896	ate_ood: 0.8326,	pehe_ood: 1.0983
1900	Obj: 0.0681,	F: 0.2902,	Cf: 0.312,	Imb: 3.9e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8498,	pehe_train: 1.1121	ate_ood: 0.8498,	pehe_ood: 1.1210
2000	Obj: 0.0672,	F: 0.2895,	Cf: 0.312,	Imb: 3.9e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9076,	pehe_train: 1.1876	ate_ood: 0.9076,	pehe_ood: 1.1971
2100	Obj: 0.0664,	F: 0.2888,	Cf: 0.315,	Imb: 3.8e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8955,	pehe_train: 1.1719	ate_ood: 0.8955,	pehe_ood: 1.1812
2200	Obj: 0.0661,	F: 0.2889,	Cf: 0.315,	Imb: 3.8e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9052,	pehe_train: 1.1845	ate_ood: 0.9052,	pehe_ood: 1.1940
2300	Obj: 0.0655,	F: 0.2887,	Cf: 0.310,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8694,	pehe_train: 1.1377	ate_ood: 0.8694,	pehe_ood: 1.1468
2400	Obj: 0.0651,	F: 0.2886,	Cf: 0.309,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8673,	pehe_train: 1.1349	ate_ood: 0.8673,	pehe_ood: 1.1440
2500	Obj: 0.0658,	F: 0.2909,	Cf: 0.313,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.9223,	pehe_train: 1.2069	ate_ood: 0.9223,	pehe_ood: 1.2165
2600	Obj: 0.0645,	F: 0.2888,	Cf: 0.311,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8956,	pehe_train: 1.1720	ate_ood: 0.8956,	pehe_ood: 1.1814
2700	Obj: 0.0644,	F: 0.2895,	Cf: 0.308,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8449,	pehe_train: 1.1056	ate_ood: 0.8449,	pehe_ood: 1.1145
2800	Obj: 0.0638,	F: 0.2889,	Cf: 0.310,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8909,	pehe_train: 1.1658	ate_ood: 0.8909,	pehe_ood: 1.1752
2900	Obj: 0.0635,	F: 0.2888,	Cf: 0.309,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8636,	pehe_train: 1.1301	ate_ood: 0.8636,	pehe_ood: 1.1391
3000	Obj: 0.0631,	F: 0.2886,	Cf: 0.310,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8738,	pehe_train: 1.1435	ate_ood: 0.8738,	pehe_ood: 1.1527
3100	Obj: 0.0628,	F: 0.2887,	Cf: 0.311,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8759,	pehe_train: 1.1461	ate_ood: 0.8759,	pehe_ood: 1.1553
3200	Obj: 0.0626,	F: 0.2888,	Cf: 0.305,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8523,	pehe_train: 1.1153	ate_ood: 0.8523,	pehe_ood: 1.1242
3300	Obj: 0.0624,	F: 0.2889,	Cf: 0.309,	Imb: 3.7e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8889,	pehe_train: 1.1633	ate_ood: 0.8889,	pehe_ood: 1.1726
3400	Obj: 0.0620,	F: 0.2885,	Cf: 0.310,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8772,	pehe_train: 1.1479	ate_ood: 0.8772,	pehe_ood: 1.1571
3500	Obj: 0.0618,	F: 0.2886,	Cf: 0.311,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8845,	pehe_train: 1.1575	ate_ood: 0.8845,	pehe_ood: 1.1667
3600	Obj: 0.0617,	F: 0.2888,	Cf: 0.310,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8915,	pehe_train: 1.1667	ate_ood: 0.8915,	pehe_ood: 1.1760
3700	Obj: 0.0614,	F: 0.2885,	Cf: 0.309,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8743,	pehe_train: 1.1441	ate_ood: 0.8743,	pehe_ood: 1.1532
3800	Obj: 0.0612,	F: 0.2886,	Cf: 0.312,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8907,	pehe_train: 1.1656	ate_ood: 0.8907,	pehe_ood: 1.1749
3900	Obj: 0.0613,	F: 0.2892,	Cf: 0.311,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8602,	pehe_train: 1.1256	ate_ood: 0.8602,	pehe_ood: 1.1346
4000	Obj: 0.0614,	F: 0.2898,	Cf: 0.306,	Imb: 3.6e-17,	Val: nan,	ValImb: nan,	ValObj: nan	ate_train: 0.8348,	pehe_train: 1.0924	ate_ood: 0.8348,	pehe_ood: 1.1012
